Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
154,20000865,Nik Stauskas,PHI,SG,80,756,225,188,31,46,39.7,81.3,36.8,122,119,132,128,2187,0,0,1334
155,20000821,Kenneth Faried,DEN,PF,61,587,458,55,41,43,54.9,69.3,0,131,228,0,58,1295,11,0,1329.1
156,20000662,Matt Barnes,GS,SF,74,527,382,196,26,48,39.1,78.7,33.1,70,98,87,107,1775,4,0,1320.4
157,20000458,Amir Johnson,BOS,PF,80,520,363,141,63,50,57.7,67,40.9,67,186,27,78,1608,0,0,1315.1
158,20000491,Marreese Speights,LAC,PF,82,711,371,66,41,23,44.6,87.6,37.2,120,141,103,70,1285,4,0,1313.2
159,20000804,Zach LaVine,MIN,PG,47,889,160,140,10,40,45.9,83.6,38.7,117,206,120,85,1748,0,0,1306
160,20000529,Monta Ellis,IND,SG,74,630,202,237,27,77,44.3,72.7,31.9,93,204,43,135,1997,0,0,1300.9
161,20000730,Solomon Hill,NO,SF,80,563,306,141,32,72,38.4,80.5,34.8,103,89,94,82,2374,1,0,1267.7
162,20000733,C.J. Miles,IND,SF,76,815,229,48,25,46,43.4,90.3,41.3,84,112,169,41,1776,0,0,1262.8
163,20000881,Reggie Jackson,DET,PG,52,752,114,271,5,35,41.9,86.8,35.9,118,218,66,114,1424,4,0,1261.3
164,20000579,Matthew Dellavedova,MIL,PG,76,577,149,358,0,50,39,85.4,36.4,82,129,79,133,1986,0,0,1259.8
165,20001461,Willie Cauley-Stein,SAC,C,75,611,336,80,45,52,53,66.9,0,101,255,0,69,1420,8,0,1259.2
166,20000586,Joe Johnson,UTA,SG,78,715,243,144,18,35,43.7,81.8,40.9,63,167,106,70,1842,0,0,1258.6
167,20000654,Marco Belinelli,CHA,SG,74,780,178,147,9,44,42.9,89.3,36.2,150,162,102,70,1777,1,0,1250.1
168,20000556,Evan Turner,POR,SG,65,586,246,205,24,55,42.6,82.5,26.3,85,204,31,100,1658,2,0,1246.7
169,20000601,DeMarre Carroll,TOR,SF,72,638,276,74,28,81,40.1,76.1,34.1,89,111,109,54,1881,2,0,1244.2
170,20000890,Dion Waiters,MIA,SG,46,729,153,200,20,41,42.4,64.6,39.4,82,196,85,103,1384,1,0,1231.6
171,20000524,E'Twaun Moore,NO,SG,73,700,152,164,31,50,45.6,77,37,57,206,77,61,1819,0,0,1229.4
172,20001457,Larry Nance Jr.,LAL,PF,63,449,370,97,40,82,52.3,73.8,27.8,59,180,10,56,1441,7,0,1226.5
173,20001249,Sergio Rodriguez,PHI,PG,68,530,161,345,4,48,39.2,66.7,36.5,18,118,92,128,1517,1,0,1216.7
174,20000519,Tony Snell,MIL,SG,80,683,248,96,14,55,45.4,81,40.6,47,102,144,54,2335,1,0,1208.6
175,20000499,Zaza Pachulia,GS,C,70,426,409,132,33,58,53.6,77.8,0,98,164,0,89,1268,4,0,1207.8
176,20000638,Vince Carter,MEM,SG,73,586,226,133,36,60,39.4,76.5,37.8,88,81,112,50,1799,0,0,1198.7
177,20000625,Tim Frazier,NO,PG,65,464,173,335,6,55,40.3,76,31.2,98,123,40,101,1524,7,1,1195.1
178,20000684,Dewayne Dedmon,SA,C,76,387,494,45,64,39,62.2,69.9,0,65,161,0,61,1329,6,0,1192.3
179,20000537,Raymond Felton,LAC,PG,80,538,219,191,22,66,43,78.1,31.9,50,175,46,82,1699,0,0,1181.3
180,20000649,Tony Parker,SA,PG,63,638,112,285,2,33,46.6,72.6,33.3,85,242,23,89,1587,0,0,1180.9
181,20000688,Channing Frye,CLE,PF,74,676,290,45,38,33,45.8,85.1,41,63,101,137,53,1397,2,0,1180.5
182,20000492,Justin Holiday,NY,SG,82,629,227,102,31,65,43.3,82.5,35.5,66,136,97,66,1639,0,0,1180.4
